id_vecino,nombre,apellido,dni,telefono,mail,tipo
101,Chanda,Bowles,1208061743,3592523344,cbowles0@macromedia.com,propietario
102,Shane,Mateus,3654276618,9845505945,smateus1@stanford.edu,propietario
103,Corri,Melior,1191906199,7369831696,cmelior2@imageshack.us,arrendatario
104,Leola,Argabrite,7166378217,3798582209,largabrite3@rambler.ru,propietario
105,Bar,Cockin,8601457975,1985613080,bcockin4@loc.gov,arrendatario
106,Thedric,Thornebarrow,9186050067,9059858028,tthornebarrow5@dion.ne.jp,propietario
107,Mildred,Vatini,3674249092,7449997424,mvatini6@acquirethisname.com,arrendatario
108,Edie,Innman,5479857220,7248246603,einnman7@opera.com,propietario
109,Ranice,Laughlin,2239781110,6753739395,rlaughlin8@delicious.com,propietario
110,Buckie,Vittel,4378816251,3738093710,bvittel9@lulu.com,propietario
111,Virgilio,Klais,6379874413,1632298762,vklaisa@typepad.com,propietario
112,Prince,Blaze,9093889611,1356225155,pblazeb@economist.com,arrendatario
113,Michel,Neaverson,7007012762,5796999348,mneaversonc@usda.gov,arrendatario
114,Sergeant,Wehnerr,7744225725,4765750145,swehnerrd@pinterest.com,arrendatario
115,Odo,Mufford,7633899981,7416004479,omufforde@google.com.hk,propietario
116,Clemens,Eskriet,8481758182,1985158078,ceskrietf@aol.com,arrendatario
117,Elli,Ciccarello,9483107910,7744898099,eciccarellog@deliciousdays.com,arrendatario
118,Dorothy,Snarr,1444836388,5449306981,dsnarrh@miitbeian.gov.cn,arrendatario
